,Date,Index Price (USD)
0,2019-04-01,1515
1,2019-11-01,1559
2,2019-01-18,1575
3,2019-01-25,1603
4,2019-01-02,1588
5,2019-08-02,1540
6,2019-02-15,1574
7,2019-02-22,1512
8,2019-01-03,1482
9,2019-08-03,1420
10,2019-03-15,1357
11,2019-03-22,1280
12,2019-03-29,1300
13,2019-05-04,1375
14,2019-12-04,1379
15,2019-04-19,1334
16,2019-04-26,1334
17,2019-03-05,1388
18,2019-10-05,1407
19,2019-05-17,1366
20,2019-05-24,1296
21,2019-05-31,1289
22,2019-07-06,1362
23,2019-06-14,1340
24,2019-06-21,1307
25,2019-06-28,1317
26,2019-05-07,1381
27,2019-12-07,1399
28,2019-07-19,1374
29,2019-07-26,1342
30,2019-02-08,1351
31,2019-09-08,1395
32,2019-08-16,1338
33,2019-08-23,1351
34,2019-08-30,1350
35,2019-06-09,1396
36,2019-09-13,1356
37,2019-09-20,1306
38,2019-09-27,1279
39,2019-04-10,1269
40,2019-11-10,1239
41,2019-10-18,1237
42,2019-10-25,1238
43,2019-01-11,1242
44,2019-08-11,1325
45,2019-11-15,1362
46,2019-11-22,1323
47,2019-11-29,1290
48,2019-06-12,1315
49,2019-12-13,1389
50,2019-12-20,1431
51,2019-12-27,1446
52,2020-03-01,1461
53,2020-10-01,1555
54,2020-01-17,1581
55,2020-01-24,1549
56,2020-01-31,1514
57,2020-07-02,1468
58,2020-02-14,1443
59,2020-02-21,1350
60,2020-02-28,1331
61,2020-06-03,1358
62,2020-03-13,1344
63,2020-03-20,1377
64,2020-03-27,1400
65,2020-03-04,1433
66,2020-10-04,1473
67,2020-04-17,1467
68,2020-04-24,1439
69,2020-01-05,1451
70,2020-08-05,1487
71,2020-05-15,1487
72,2020-05-22,1471
73,2020-05-29,1459
74,2020-05-06,1556
75,2020-12-06,1674
76,2020-06-19,1768
77,2020-06-26,1785
78,2020-03-07,1812
79,2020-10-07,1859
80,2020-07-17,1816
81,2020-07-24,1779
82,2020-07-31,1762
83,2020-07-08,1828
84,2020-08-14,1848
85,2020-08-21,1913
86,2020-08-28,1946
87,2020-04-09,2032
88,2020-11-09,2112
89,2020-09-18,2174
90,2020-09-25,2247
91,2020-02-10,2250
92,2020-09-10,2242
93,2020-10-16,2232
94,2020-10-23,2230
95,2020-10-30,2231
96,2020-06-11,2264
97,2020-11-13,2291
98,2020-11-20,2375
99,2020-11-27,2443
100,2020-04-12,2652
101,2020-11-12,2782
102,2020-12-18,3004
103,2020-12-25,3143
104,2021-01-01,3452
105,2021-08-01,3854
106,2021-01-15,4277
107,2021-01-22,4204
108,2021-01-29,4398
109,2021-05-02,4438
110,2021-12-02,4386
111,2021-02-19,4578
112,2021-02-26,4530
113,2021-05-03,4347
114,2021-12-03,4481
115,2021-03-19,4300
116,2021-03-26,4367
117,2021-02-04,4442
118,2021-09-04,4495
119,2021-04-16,4591
120,2021-04-23,4702
121,2021-04-30,4686
122,2021-07-05,4957
123,2021-05-14,5379
124,2021-05-21,5545
125,2021-05-28,5908
126,2021-04-06,6251
127,2021-11-06,6576
128,2021-06-18,6811
129,2021-06-25,6753
130,2021-02-07,6970
131,2021-09-07,7629
132,2021-07-16,7998
133,2021-07-23,8999
134,2021-07-30,10176
135,2021-06-08,10380
136,2021-08-13,9568
137,2021-08-20,10024
138,2021-08-27,10323
139,2021-03-09,10519
140,2021-10-09,11109
141,2021-09-17,10996
142,2021-09-24,10839
143,2021-01-10,10517
144,2021-08-10,9949
145,2021-10-15,10396
146,2021-10-22,10215
147,2021-10-29,10321
148,2021-05-11,10525
149,2021-12-11,9411
150,2021-11-19,9202
151,2021-11-26,9351
152,2021-03-12,9425
153,2021-10-12,9550
154,2021-12-17,9513
155,2021-12-24,9437
156,2021-12-31,9293
157,2022-07-01,9167
158,2022-01-14,9526
159,2022-01-21,9680
160,2022-01-28,9806
161,2022-04-02,9660
162,2022-11-02,9628
163,2022-02-18,9745
164,2022-02-25,9789
165,2022-04-03,9757
166,2022-11-03,9777
167,2022-03-18,9488
168,2022-03-25,9430
169,2022-01-04,9416
170,2022-08-04,9280
171,2022-04-15,9232
172,2022-04-22,9142
173,2022-04-29,8955
174,2022-06-05,9710
175,2022-05-13,9236
176,2022-05-20,9466
177,2022-05-27,7851
178,2022-03-06,7370
179,2022-10-06,7261
180,2022-06-17,7098
181,2022-06-24,7032
182,2022-01-07,6577
183,2022-08-07,6495
184,2022-07-15,6414
185,2022-07-22,6319
186,2022-07-29,6120
187,2022-05-08,6139
188,2022-12-08,5956
189,2022-08-19,5280
